CustomerCode,CountryCode,FMSerialnumber,Month,Year,Period
952440,SA,873051057,04,2017,201704
952440,SA,873051058,04,2017,201704
952440,SA,873051013,04,2017,201704
952440,SA,873051002,04,2017,201704
952440,SA,869651004,04,2017,201704
952440,SA,869351029,05,2017,201705
952440,SA,869351039,05,2017,201705
952440,SA,873051006,05,2017,201705
952440,SA,873051057,05,2017,201705
952440,SA,873051058,05,2017,201705
952440,SA,873051013,05,2017,201705
952440,SA,873051002,05,2017,201705
952440,SA,869651004,05,2017,201705
952440,SA,869351029,06,2017,201706
952440,SA,869351039,06,2017,201706
952440,SA,873051006,06,2017,201706
952440,SA,873051057,06,2017,201706
952440,SA,873051058,06,2017,201706
952440,SA,873051013,06,2017,201706
952440,SA,873051002,06,2017,201706
952440,SA,869651004,06,2017,201706
952440,SA,869351029,07,2017,201707
952440,SA,869351039,07,2017,201707
952440,SA,873051006,07,2017,201707
952440,SA,873051057,07,2017,201707
952440,SA,873051058,07,2017,201707
952440,SA,873051013,07,2017,201707
952440,SA,873051002,07,2017,201707
952440,SA,869651004,07,2017,201707
952440,SA,869351029,08,2017,201708
952440,SA,869351039,08,2017,201708
952440,SA,873051006,08,2017,201708
952440,SA,873051057,08,2017,201708
952440,SA,873051058,08,2017,201708
952440,SA,873051013,08,2017,201708
952440,SA,873051002,08,2017,201708
952440,SA,869651004,08,2017,201708
952440,SA,869351029,09,2017,201709
952440,SA,869351039,09,2017,201709
952440,SA,873051006,09,2017,201709
952440,SA,873051057,09,2017,201709
952440,SA,873051058,09,2017,201709
952440,SA,873051013,09,2017,201709
952440,SA,873051002,09,2017,201709
952440,SA,869651004,09,2017,201709
952440,SA,869351029,10,2017,201710
952440,SA,869351039,10,2017,201710
952440,SA,873051006,10,2017,201710
952440,SA,873051057,10,2017,201710
952440,SA,873051058,10,2017,201710
952440,SA,873051013,10,2017,201710
952440,SA,873051002,10,2017,201710
952440,SA,869651004,10,2017,201710
952440,SA,869351029,11,2017,201711
952440,SA,869351039,11,2017,201711
952440,SA,873051006,11,2017,201711
952440,SA,873051057,11,2017,201711
952440,SA,873051058,11,2017,201711
952440,SA,873051013,11,2017,201711
952440,SA,873051002,11,2017,201711
952440,SA,869651004,11,2017,201711
952440,SA,869351029,12,2017,201712
952440,SA,869351039,12,2017,201712
952440,SA,873051006,12,2017,201712
952440,SA,873051057,12,2017,201712
952440,SA,873051058,12,2017,201712
952440,SA,873051013,12,2017,201712
952440,SA,873051002,12,2017,201712
952440,SA,869651004,12,2017,201712
952440,SA,869651011,12,2017,201712
952440,SA,869651011,01,2017,201701
952440,SA,869651011,02,2017,201702
952440,SA,869651011,03,2017,201703
952440,SA,869651011,04,2017,201704
952440,SA,869651011,05,2017,201705
952440,SA,869651011,06,2017,201706
952440,SA,869651011,07,2017,201707
952440,SA,869651011,08,2017,201708
952440,SA,869651011,09,2017,201709
952440,SA,869651011,10,2017,201710
952440,SA,869651011,11,2017,201711
952440,SA,869351047,01,2017,201701
952440,SA,869351047,02,2017,201702
952440,SA,869351047,03,2017,201703
952440,SA,869351047,04,2017,201704
952440,SA,869351047,05,2017,201705
952440,SA,869351047,06,2017,201706
952440,SA,869351047,07,2017,201707
952440,SA,869351047,08,2017,201708
952440,SA,869351047,09,2017,201709
952440,SA,869351047,10,2017,201710
952440,SA,869351047,11,2017,201711
952440,SA,869351047,12,2017,201712
953894,LY,870151181,01,2017,201701
953894,LY,870151181,02,2017,201702
953894,LY,870151181,03,2017,201703
953894,LY,870151181,04,2017,201704
953894,LY,870151181,05,2017,201705
953894,LY,870151181,06,2017,201706
953894,LY,870151181,07,2017,201707
953894,LY,870151181,08,2017,201708
953894,LY,870151181,09,2017,201709
953894,LY,870151181,10,2017,201710
953894,LY,870151181,11,2017,201711
953894,LY,850451012,01,2017,201701
953894,LY,850451012,02,2017,201702
953894,LY,850451012,03,2017,201703
953894,LY,850451012,04,2017,201704
953894,LY,850451012,05,2017,201705
953894,LY,850451012,06,2017,201706
953894,LY,850451012,07,2017,201707
953894,LY,850451012,08,2017,201708
953894,LY,850451012,09,2017,201709
953894,LY,850451012,10,2017,201710
953894,LY,850451012,11,2017,201711
953894,LY,870151181,12,2017,201712
953894,LY,850451012,12,2017,201712
953894,LY,869351057,01,2017,201701
953894,LY,869351057,02,2017,201702
953894,LY,869351057,03,2017,201703
953894,LY,869351057,04,2017,201704
953894,LY,869351057,05,2017,201705
953894,LY,869351057,06,2017,201706
953894,LY,869351057,07,2017,201707
953894,LY,869351057,08,2017,201708
953894,LY,869351057,09,2017,201709
953894,LY,869351057,10,2017,201710
953894,LY,869351057,11,2017,201711
953894,LY,869351057,12,2017,201712
953535,LY,853251029,12,2017,201712
953535,LY,853251029,01,2017,201701
953535,LY,853251029,02,2017,201702
953535,LY,853251029,03,2017,201703
953535,LY,853251029,04,2017,201704
953535,LY,853251029,05,2017,201705
953535,LY,853251029,06,2017,201706
953535,LY,853251029,07,2017,201707
953535,LY,853251029,08,2017,201708
953535,LY,853251029,09,2017,201709
953535,LY,853251029,10,2017,201710
953535,LY,853251029,11,2017,201711
954254,EG,869351053,01,2017,201701
954254,EG,870151182,01,2017,201701
954254,EG,869351053,02,2017,201702
954254,EG,870151182,02,2017,201702
954254,EG,869351053,03,2017,201703
954254,EG,870151182,03,2017,201703
954254,EG,869351053,04,2017,201704
954254,EG,870151182,04,2017,201704
954254,EG,869351053,05,2017,201705
954254,EG,870151182,05,2017,201705
954254,EG,869351053,06,2017,201706
954254,EG,870151182,06,2017,201706
954254,EG,869351053,07,2017,201707
954254,EG,870151182,07,2017,201707
954254,EG,869351053,08,2017,201708
954254,EG,870151182,08,2017,201708
954254,EG,869351053,09,2017,201709
954254,EG,870151182,09,2017,201709
954254,EG,869351053,10,2017,201710
954254,EG,870151182,10,2017,201710
954254,EG,869351053,11,2017,201711
954254,EG,870151182,11,2017,201711
954254,EG,869351053,12,2017,201712
954254,EG,870151182,12,2017,201712
954263,SA,873051042,01,2017,201701
954263,SA,873051042,02,2017,201702
954263,SA,873051042,03,2017,201703
954263,SA,873051042,04,2017,201704
954263,SA,873051042,05,2017,201705
954263,SA,873051042,06,2017,201706
954263,SA,873051042,07,2017,201707
954263,SA,873051042,08,2017,201708
954263,SA,873051042,09,2017,201709
954263,SA,873051042,10,2017,201710
954263,SA,873051042,11,2017,201711
954263,SA,873051042,12,2017,201712
954440,EG,869351071,01,2017,201701
954440,EG,869351071,02,2017,201702
954440,EG,869351071,03,2017,201703
954440,EG,869351071,04,2017,201704
954440,EG,869351071,05,2017,201705
954440,EG,869351071,06,2017,201706
954440,EG,869351071,07,2017,201707
954440,EG,869351071,08,2017,201708
954440,EG,869351071,09,2017,201709
954440,EG,869351071,10,2017,201710
954440,EG,869351071,11,2017,201711
954440,EG,869351071,12,2017,201712
953234,SA,870751123,01,2017,201701
953234,SA,870751123,02,2017,201702
953234,SA,870751123,03,2017,201703
953234,SA,870751123,04,2017,201704
953234,SA,870751123,05,2017,201705
953234,SA,870751123,06,2017,201706
953234,SA,870751123,07,2017,201707
953234,SA,870751123,08,2017,201708
953234,SA,870751123,09,2017,201709
953234,SA,870751123,10,2017,201710
953234,SA,870751123,11,2017,201711
953234,SA,870751123,12,2017,201712
952983,IR,853251052,01,2017,201701
952983,IR,853251053,01,2017,201701
952983,IR,853251037,01,2017,201701
952983,IR,853251048,01,2017,201701
952983,IR,853251052,02,2017,201702
952983,IR,853251053,02,2017,201702
952983,IR,853251037,02,2017,201702
952983,IR,853251048,02,2017,201702
952983,IR,853251052,03,2017,201703
952983,IR,853251053,03,2017,201703
952983,IR,853251037,03,2017,201703
952983,IR,853251048,03,2017,201703
952983,IR,853251052,04,2017,201704
952983,IR,853251053,04,2017,201704
952983,IR,853251037,04,2017,201704
952983,IR,853251048,04,2017,201704
952983,IR,853251052,05,2017,201705
952983,IR,853251053,05,2017,201705
952983,IR,853251037,05,2017,201705
952983,IR,853251048,05,2017,201705
952983,IR,853251052,06,2017,201706
952983,IR,853251053,06,2017,201706
952983,IR,853251037,06,2017,201706
952983,IR,853251048,06,2017,201706
952983,IR,853251052,07,2017,201707
952983,IR,853251053,07,2017,201707
952983,IR,853251037,07,2017,201707
952983,IR,853251048,07,2017,201707
952983,IR,853251052,08,2017,201708
952983,IR,853251053,08,2017,201708
952983,IR,853251037,08,2017,201708
952983,IR,853251048,08,2017,201708
952983,IR,853251052,09,2017,201709
952983,IR,853251053,09,2017,201709
952983,IR,853251037,09,2017,201709
952983,IR,853251048,09,2017,201709
952983,IR,853251052,10,2017,201710
952983,IR,853251053,10,2017,201710
952983,IR,853251037,10,2017,201710
952983,IR,853251048,10,2017,201710
952983,IR,853251052,11,2017,201711
952983,IR,853251053,11,2017,201711
952983,IR,853251037,11,2017,201711
952983,IR,853251048,11,2017,201711
952983,IR,853251052,12,2017,201712
952983,IR,853251053,12,2017,201712
952983,IR,853251037,12,2017,201712
952983,IR,853251048,12,2017,201712
952334,AO,850251014,01,2017,201701
952334,AO,870151026,01,2017,201701
952334,AO,850251014,02,2017,201702
952334,AO,870151026,02,2017,201702
952334,AO,850251014,03,2017,201703
952334,AO,870151026,03,2017,201703
952334,AO,850251014,04,2017,201704
952334,AO,870151026,04,2017,201704
952334,AO,850251014,05,2017,201705
952334,AO,870151026,05,2017,201705
952334,AO,850251014,06,2017,201706
952334,AO,870151026,06,2017,201706
952334,AO,850251014,07,2017,201707
952334,AO,870151026,07,2017,201707
952334,AO,850251014,08,2017,201708
952334,AO,870151026,08,2017,201708
952334,AO,850251014,09,2017,201709
952334,AO,870151026,09,2017,201709
952334,AO,850251014,10,2017,201710
